MUNICÍPIO,ESCOLA,LOCALIZAÇÃO,CÓDIGO DO INEP,TIPO,
Campo Grande,SOCIEDADE EUNICE WEAVER DE CAMPO GRANDE,URBANA,50027948,PARTICULAR,
Campo Grande,SOLETRANDO ESCOLA DE ED INFANTIL E ENSINO FUNDAMENTAL CARPE DIEM,URBANA,50026364,PARTICULAR,
Cassilândia,CENTRO EDUCACIONAL RAIO DE SOL,URBANA,50010565,PARTICULAR,
Cassilândia,COLEGIO GERACAO,URBANA,50010530,PARTICULAR,
Cassilândia,COLEGIO INTELECTUS,URBANA,50010549,PARTICULAR,
Cassilândia,ESCOLA EVANGELICA AVIVAMENTO BIBLICO,URBANA,50030892,PARTICULAR,
Chapadão do Sul,CEI EDUCATIVA,URBANA,50031600,PARTICULAR,
Chapadão do Sul,CENTRO EDUCACIONAL DE CHAPADAO DO SUL - APAE,URBANA,50010638,PARTICULAR,
Chapadão do Sul,CEPE - CENTRO POSITIVO DE ENSINO,URBANA,50010662,PARTICULAR,
Chapadão do Sul,CEPROSUL,URBANA,50050800,PARTICULAR,
Chapadão do Sul,COLEGIO ATENAS,URBANA,50024302,PARTICULAR,
Chapadão do Sul,COLEGIO MAPER,URBANA,50031651,PARTICULAR,
Corguinho,APAE DE CORGUINHO,URBANA,50031333,PARTICULAR,
Coronel Sapucaia,CENTRO EDUCATIVO PINGO DE GENTE,URBANA,50037404,PARTICULAR,
Coronel Sapucaia,ESCOLA DE EDUC ESPECIAL PORTAL DE LUZ,URBANA,50024841,PARTICULAR,
Corumbá,C EDUCACIONAL MADRE CLARA RICCI,URBANA,50028049,PARTICULAR,
Corumbá,CENTRO DE EDUCACAO PROFISSIONAL - SENAC CORUMBA,URBANA,50055801,PARTICULAR,
Corumbá,CENTRO DE ENSINO IMACULADA CONCEICAO,URBANA,50000381,PARTICULAR,
Corumbá,COLEGIO ADVENTISTA DE CORUMBA,URBANA,50000101,PARTICULAR,
Corumbá,COLEGIO SALESIANO DE SANTA TERESA,URBANA,50000390,PARTICULAR,
Corumbá,COLEGIO SAO JOSE,URBANA,50023861,PARTICULAR,
Corumbá,ENAM - ESCOLA NEUSA ASSAD MALTA,URBANA,50000357,PARTICULAR,
Corumbá,ESC ESPECIALIZADA REINO DO AMOR-APAE,URBANA,50000438,PARTICULAR,
Corumbá,ESCOLA DO SESI CORUMBA,URBANA,50000039,PARTICULAR,
Corumbá,ESCOLA EVANGELICA ASSEMBLEIA DE DEUS,URBANA,50000110,PARTICULAR,
Corumbá,ESCOLA SANTA INES,URBANA,50000128,PARTICULAR,
Corumbá,ESCOLA TENIR LTDA,URBANA,50030132,PARTICULAR,
Corumbá,ESCOLINHA DE ARTES ACALANTO,URBANA,50030329,PARTICULAR,
Corumbá,FATEC SENAI CORUMBA,URBANA,50028030,PARTICULAR,
Corumbá,IBEC - INSTITUTO BARUKI DE ED E CULTURA,URBANA,50000551,PARTICULAR,
Corumbá,INSTITUTO EDUC JOSE CARLOS MACENA DE BRITTO,URBANA,50000411,PARTICULAR,
Corumbá,JARDIM DOS PIRILAMPOS,URBANA,50000578,PARTICULAR,
Costa Rica,COOPERATIVA EDUCACIONAL DE COSTA RICA - COOPECRI,URBANA,50010875,PARTICULAR,
Costa Rica,ESCOLA LAURADAIANE,URBANA,50010891,PARTICULAR,
Costa Rica,INSTITUTO EDUC DE COSTA RICA - APAE,URBANA,50024396,PARTICULAR,
Coxim,CENTRO DE EDUCACAO ESPECIAL DE COXIM,URBANA,50003453,PARTICULAR,
Coxim,CENTRO DE EDUCACAO PROFISSIONAL ENSINO FUNDAMENTAL E MEDIO SANTA TERESA,URBANA,50003631,PARTICULAR,
Coxim,COLEGIO PROFESSORA JULIETA MOTA DOS SANTOS,URBANA,50003704,PARTICULAR,
Coxim,ESCOLA NOVO MUNDO,URBANA,50027760,PARTICULAR,
Deodápolis,CAEED - DEODAPOLIS,URBANA,50032330,PARTICULAR,
Deodápolis,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL CRESCER E APRENDER,URBANA,50033948,PARTICULAR,
Deodápolis,ESCOLA ESPECIAL CRIANCA FELIZ - APAE,URBANA,50024620,PARTICULAR,
Deodápolis,OS GLOBINHOS CENTRO EDUCACIONAL DE DEODAPOLIS,URBANA,50031180,PARTICULAR,
Dois Irmãos do Buriti,CAEEPP - C DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO PASSO A PASSO,URBANA,50031686,PARTICULAR,
Dourados,APAE-DOURADOS-MS,URBANA,50015664,PARTICULAR,
Dourados,ASSOC BENEF DOURADENSE - CRECHE HOSPITAL,URBANA,50027786,PARTICULAR,
Dourados,ASSOC DE ESPORTE E CULTURA DO C EDUC ANTONIO RAPOSO TAVARES,URBANA,50031945,PARTICULAR,
Dourados,ASSOCIACAO EDUCACIONAL CEMINHA,URBANA,50032577,PARTICULAR,
Dourados,CEART - CENTRO EDUCACIONAL ANTONIO RAPOSO TAVARES,URBANA,50023675,PARTICULAR,
Dourados,CEI- ESTHER GOMES ERGAS - UNIDADE I,URBANA,50030450,PARTICULAR,
Dourados,CEI SANTA RITA,URBANA,50030442,PARTICULAR,
Dourados,CENTRO DE EDUCACAO PROFISSIONAL - SENAC DOURADOS,URBANA,50028561,PARTICULAR,
Dourados,CIA - EDUCACAO TECNICA PROFISSIONAL,URBANA,50059947,PARTICULAR,
Dourados,COLEGIO DELPHOS NOTA10 - UNIDADE I,URBANA,50059823,PARTICULAR,
Dourados,COLEGIO DELPHOS NOTA10 - UNIDADE II,URBANA,50032097,PARTICULAR,
Dourados,COLEGIO DOM BOSCO DE ENSINO FUNDAMENTAL E ENSINO MEDIO,URBANA,50033476,PARTICULAR,
Dourados,COLEGIO LUMIERE,URBANA,50030590,PARTICULAR,
Dourados,COLEGIO UNIGRAN,URBANA,50016628,PARTICULAR,
Dourados,COLEGIO UNIGRAN - UNIDADE II,URBANA,50032895,PARTICULAR,
Dourados,CRECHE LAR ANDRE LUIZ,URBANA,50015800,PARTICULAR,
Dourados,CURSO E COLEGIO CEMA,URBANA,50029134,PARTICULAR,
Dourados,ELITE DOURADOS,URBANA,50029150,PARTICULAR,
Dourados,EMPRESA DE APOIO A EDUCACAO DOURADENSE LTDA-ME,URBANA,50043005,PARTICULAR,
Dourados,ESC DE RECR E EF NOVOS TEMPOS DO SABER LTDA,URBANA,50029142,PARTICULAR,
Dourados,ESCOLA ADVENTISTA DOURADOS - I,URBANA,50059955,PARTICULAR,
Dourados,ESCOLA DE EDUCACAO BASICA INFANTIL MARIA DAS GRACAS,URBANA,50031570,PARTICULAR,
Dourados,ESCOLA DO SESI DOURADOS,URBANA,50015834,PARTICULAR,
Dourados,ESCOLA ESPECIALIZADA ARCO IRIS - ASSOCIACAO PESTALOZZI DE DOURADOS,URBANA,50016407,PARTICULAR,
Dourados,ESCOLA FRANCISCANA IMACULADA CONCEICAO,URBANA,50016385,PARTICULAR,
Dourados,ESCOLA GERACAO RENOVADA,URBANA,50059963,PARTICULAR,
Dourados,ESCOLA PRESBITERIANA ERASMO BRAGA,URBANA,50015877,PARTICULAR,
Dourados,ESCOLA VITAL BRASIL,URBANA,50016393,PARTICULAR,
Dourados,FACULDADE DE TECNOLOGIA SENAI DOURADOS,URBANA,50028545,PARTICULAR,
Dourados,IEGRAN - INSTITUTO EDUCACIONAL DA GRANDE DOURADOS LTDA,URBANA,50046802,PARTICULAR,
Dourados,INSTITUTO EDUCACIONAL DA IGREJA PRESBITERIANA INDEPENDENTE DE DOURADOS,URBANA,50029711,PARTICULAR,
Dourados,INSTITUTO EDUCACIONAL WINGS LTDA-ME,URBANA,50033590,PARTICULAR,
Dourados,SERVICO DE EDUCACAO INTEGRAL,URBANA,50016679,PARTICULAR,
Dourados,SONHOS E MIMOS RECREACAO INFANTIL EIRELI,URBANA,50028863,PARTICULAR,
Dourados,UNIDADE ESCOLAR DE EDUCACAO INF GIZ DE CERA,URBANA,50033506,PARTICULAR,
Eldorado,APAE - ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ELDORADO,URBANA,50022261,PARTICULAR,
Eldorado,CENTRO EDUCACIONAL AVANTE,URBANA,50029592,PARTICULAR,
Fátima do Sul,CENTRO DE EDUCACAO ESPECIAL DE FATIMA DO SUL,URBANA,50017381,PARTICULAR,
Fátima do Sul,COLEGIO IDEAL,URBANA,50031406,PARTICULAR,
Fátima do Sul,INSTITUTO EDUCACIONAL REINO DO SABER,URBANA,50017527,PARTICULAR,
Glória de Dourados,CENTRO EDUCACIONAL GLORIADOURADENSE,URBANA,50029274,PARTICULAR,
Glória de Dourados,ESCOLA CENTRO DE EDUCACAO ESPECIAL PEQUENO PRINCIPE,URBANA,50020340,PARTICULAR,
Guia Lopes da Laguna,ESCOLA ESPECIALIZADA RECANTO FELIZ,URBANA,50027751,PARTICULAR,
Iguatemi,ESCOLA ATIVA,URBANA,50024850,PARTICULAR,
Iguatemi,ESCOLA DE EDUCACAO ESPECIAL BRILHO DO SOL,URBANA,50020641,PARTICULAR,
Iguatemi,ESCOLA DE EDUCACAO INFANTIL LENIRA NOGUEIRA LOPES,URBANA,50021958,PARTICULAR,
Inocência,C EDUC PROFª ALANIRA BENEDITA DE C BRITO-APAE,URBANA,50028588,PARTICULAR,
Itaporã,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO PEDRA BONITA,URBANA,50034553,PARTICULAR,
Itaporã,CENTRO DE EDUCACAO ESPECIAL BRISA,URBANA,50017594,PARTICULAR,
Itaporã,CENTRO DE EDUCACAO PEQUENO PRINCIPE,URBANA,50042203,PARTICULAR,
Itaquiraí,APAE DE ITAQUIRAI,URBANA,50032178,PARTICULAR,
Itaquiraí,CEI - INTEGRAL SAO CARLOS BORROMEO,URBANA,50028065,PARTICULAR,
Itaquiraí,CENTRO EDUCACIONAL DE ITAQUIRA,URBANA,50028472,PARTICULAR,
Itaquiraí,ESCOLA FAMILIA AGRICOLA DE ITAQUIRAI,RURAL,50030710,PARTICULAR,
Ivinhema,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DA APAE DE IVINHEMA,URBANA,50032445,PARTICULAR,
Ivinhema,CENTRO DE EDUCACAO ESPECIAL CANTINHO FELIZ SAO PAULO APOSTOLO - APAE,URBANA,50022490,PARTICULAR,
Ivinhema,INSTITUTO DE EDUCACAO NOVA GERACAO,URBANA,50020897,PARTICULAR,
Ivinhema,SENAI IVINHEMA,URBANA,50031929,PARTICULAR,
Jardim,CENTRO EDUCACIONAL NOAH S ARC,URBANA,50027743,PARTICULAR,
Jardim,COLEGIO DOM BOSCO,URBANA,50030167,PARTICULAR,
Jardim,ESC ESPEC JARDIM DE AMOR - PESTALOZZI,URBANA,50014838,PARTICULAR,
Jardim,ESCOLA GIRASSOL,URBANA,50014803,PARTICULAR,
Jardim,ESCOLA GIRASSOL JUNIOR,URBANA,50034006,PARTICULAR,
Ladário,ESCOLA PARTICULAR SHALOM EL SHADAY,URBANA,50032518,PARTICULAR,
Ladário,SOCIEDADE DE INSTRUCAO E BENEFICENCIA - COLEGIO SAO MIGUEL,URBANA,50000748,PARTICULAR,
Laguna Carapã,C DE ATENDIMENTO ESPECIAL AMOR E VIDA - APAE,URBANA,50031724,PARTICULAR,
Maracaju,CASA DA CRIANCA DONA MARGARIDA FERREIRA BRAGA,URBANA,50017950,PARTICULAR,
Maracaju,CATE - CENTRO EDUC E TREINAMENTO ESPECIALIZADO,URBANA,50028685,PARTICULAR,
Maracaju,CENTRO DE EDUCACAO ESPECIAL CASINHA FELIZ,URBANA,50017942,PARTICULAR,
Maracaju,CENTRO DE EDUCACAO INTEGRADA RAIO DE LUZ,URBANA,50028677,PARTICULAR,
Maracaju,CENTRO INTEGRADO SESI SENAI MARACAJU,URBANA,50033328,PARTICULAR,
Maracaju,COLEGIO O ITALIANINHO,URBANA,50018132,PARTICULAR,
Maracaju,ESCOLA DO SESI MARACAJU,URBANA,50033387,PARTICULAR,
Maracaju,ESCOLA NOSSA SENHORA APARECIDA,URBANA,50065807,PARTICULAR,
Maracaju,ESCOLA PAROQUIAL NOSSA SRA APARECIDA,URBANA,50018000,PARTICULAR,
Maracaju,IEM - INSTITUICAO DE ENSINO MARACAJUENSE,URBANA,50060856,PARTICULAR,
Maracaju,NOTA 10 MARACAJU,URBANA,50064827,PARTICULAR,
Miranda,CEEMVIRG - CENTRO DE EDUCACAO ESPECIAL MARIA VIRGINIA ROSARIO GARRIDO,URBANA,50063820,PARTICULAR,
Miranda,COLEGIO NOSSA SENHORA DO CARMO,URBANA,50028596,PARTICULAR,
Miranda,ESCOLA ADVENTISTA DE MIRANDA,URBANA,50002511,PARTICULAR,
Miranda,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,RURAL,50002864,PARTICULAR,
Mundo Novo,CENTRO DE APOIO E REINTEGRACAO INFANTIL - CEI - CARI,URBANA,50048805,PARTICULAR,
Mundo Novo,CENTRO DE EDUCACAO ESPECIAL RAIO DE LUZ - APAE,URBANA,50021141,PARTICULAR,
Mundo Novo,CENTRO EDUCACIONAL DE MUNDO NOVO - MICKEY,URBANA,50021176,PARTICULAR,
Mundo Novo,ESCOLA ADVENTISTA DE MUNDO NOVO,URBANA,50021168,PARTICULAR,
Naviraí,CEDEN - CENTRO DE ED ESPECIAL NAVIRAIENSE,URBANA,50021303,PARTICULAR,
Naviraí,CENTRO DE EDUCACAO E TECNOLOGIA SENAI NAVIRAI,URBANA,50032607,PARTICULAR,
Naviraí,CENTRO DE EDUCACAO PROFISSIONAL - SENAC NAVIRAI,URBANA,50032500,PARTICULAR,
Naviraí,CENTRO DE EDUCACAO PROFISSIONAL IPED-MS,URBANA,50033514,PARTICULAR,
Naviraí,CENTRO EDUCACIONAL DE NAVIRAI,URBANA,50034545,PARTICULAR,
Naviraí,COLEGIO GEO DE NAVIRAI,URBANA,50032836,PARTICULAR,
Naviraí,COLEGIO MAXI REINO- EIEFEM,URBANA,50021435,PARTICULAR,
Naviraí,COLEGIO NAVIRAI-ENSINO FUNDAMENTAL E MEDIO,URBANA,50033913,PARTICULAR,
Naviraí,COLEGIO OBJETIVO MINIE,URBANA,50022610,PARTICULAR,
Naviraí,EEIEF PEIXINHO FELIZ,URBANA,50032712,PARTICULAR,
Naviraí,ESCOLA DO SESI NAVIRAI,URBANA,50032054,PARTICULAR,
Nioaque,CASA DA CRIANCA ANDRE LUIZ,URBANA,50031953,PARTICULAR,
Nioaque,CENTRO EDUCACIONAL INFANTIL MINA DO SABER,URBANA,50062816,PARTICULAR,
Nioaque,ESCOLA ESPECIALIZADA JOSE CORRAL MARTINS,URBANA,50033557,PARTICULAR,
Nioaque,ESCOLA O PEQUENO PRINCIPE,URBANA,50034596,PARTICULAR,
Nova Alvorada do Sul,APAE DE NOVA ALVORADA DO SUL,URBANA,50072935,PARTICULAR,
Nova Alvorada do Sul,LICEU NOVA ALVORADA DO SUL,URBANA,50033174,PARTICULAR,
Nova Alvorada do Sul,SENAI NOVA ALVORADA DO SUL,URBANA,50032240,PARTICULAR,
Nova Andradina,AGENCIA SENAI NOVA ANDRADINA,URBANA,50031546,PARTICULAR,
Nova Andradina,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO - CAEE - NOVA ANDRADINA,URBANA,50032437,PARTICULAR,
Nova Andradina,CENTRO DE EDUC DE NOVA ANDRADINA - CENA,URBANA,50030175,PARTICULAR,
Nova Andradina,CENTRO DE EDUCACAO INFANTIL- SHALOM,URBANA,50028081,PARTICULAR,
Nova Andradina,CENTRO DE RECREACAO E ENSINO INFANTIL LUCIANE FERNANDES ABELHA,URBANA,50029207,PARTICULAR,
Nova Andradina,COLEGIO OBJETIVO ANAEC - NOVA ANDRADINA,URBANA,50013475,PARTICULAR,
Nova Andradina,E DE ED ESPECIAL RAIO DE SOL,URBANA,50013513,PARTICULAR,
Nova Andradina,ESCOLA ADVENTISTA DE NOVA ANDRADINA,URBANA,50013351,PARTICULAR,
Nova Andradina,ESCOLA PE JOAO UMBERTO SACHET,URBANA,50022598,PARTICULAR,
Novo Horizonte do Sul,CAEE - NOVO HORIZONTE DO SUL,URBANA,50032461,PARTICULAR,
Novo Horizonte do Sul,E DE ED ESPECIAL RENASCER,URBANA,50027026,PARTICULAR,
Paraíso das Águas,INSTITUICAO EDUCACIONAL COSTA FILHO,URBANA,50082930,PARTICULAR,
Paranaíba,CAEE - UNIDADE EDUCACIONAL APAEANA PARA APRENDIZAGENS E DESENVOLVIMENTO,URBANA,50032429,PARTICULAR,
Paranaíba,CEI - LAR TERESA SPINELLI,URBANA,50030728,PARTICULAR,
Paranaíba,CEI - LOURDES MORAIS PAIVA,URBANA,50029215,PARTICULAR,
Paranaíba,CENTRO DE EDUCACAO INFANTIL LAR TERESA SPINELLI II,URBANA,50034510,PARTICULAR,
Paranaíba,CENTRO EDUCACIONAL PARANAIBENSE CEP,URBANA,50011324,PARTICULAR,
Paranaíba,ESCOLA CAMINHO LTDA EPP,URBANA,50011316,PARTICULAR,
Paranaíba,ESCOLA PARTICULAR EDUCANDARIO SANTA CLARA,URBANA,50011537,PARTICULAR,
Paranhos,CAEE - SOMOS TODOS IGUAIS NA DIFERENCA,URBANA,50032372,PARTICULAR,
Paranhos,ESCOLA DE EDUCACAO ESPECIAL DIFERENCAS QUE NOS UNEM,URBANA,50031562,PARTICULAR,
Pedro Gomes,C DE EDUCACAO ESPECIAL BEM-ME-QUER,URBANA,50024400,PARTICULAR,
Ponta Porã,CEMA - CENTRO EDUCATIVO DE ED INF E ENS FUND MIGUEL ANGELO,URBANA,50029339,PARTICULAR,
Ponta Porã,CENTRO DE EDUC ESPECIAL DE PONTA PORA,URBANA,50018310,PARTICULAR,
Ponta Porã,CEPS - CENTRO EDUC PERPETUO SOCORRO,URBANA,50018680,PARTICULAR,
Ponta Porã,ELITE PONTA PORA,URBANA,50018337,PARTICULAR,
Ponta Porã,ESCOLA DE RECREACAO E ENSINO FUNDAMENTAL NOVA EPOCA,URBANA,50024736,PARTICULAR,
Ponta Porã,ESCOLA MAGSUL,URBANA,50018663,PARTICULAR,
Ponta Porã,ESCOLA MAGSUL JUNIOR DE EI,URBANA,50029355,PARTICULAR,
Ponta Porã,ESCOLA MAGSUL JUNIOR DE ENSINO FUNDAMENTAL,URBANA,50029347,PARTICULAR,
Ponta Porã,ESCOLA MAPPE - MODERNA ASSOCIACAO PONTAPORANENSE DE ENSINO,URBANA,50018671,PARTICULAR,
Ponta Porã,ESCOLA TOPO GIGIO,URBANA,50018655,PARTICULAR,
Ponta Porã,SENAC PONTA PORA,URBANA,50034316,PARTICULAR,
Porto Murtinho,ALFA CENTRO EDUCACIONAL,URBANA,50029932,PARTICULAR,
Porto Murtinho,CAEE - LEANDRO ROLON ROMERO,URBANA,50032488,PARTICULAR,
Ribas do Rio Pardo,CENTRO EDUCACIONAL ROSA MOSSO,URBANA,50023560,PARTICULAR,
Ribas do Rio Pardo,ESCOLA CLINICA ARCO-IRIS DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL - ASSOCIACAO PESTALOZZI,URBANA,50026690,PARTICULAR,
Rio Brilhante,ESCOLA BRANCA DE NEVE,URBANA,50019325,PARTICULAR,
Rio Brilhante,ESCOLA DE EDUCACAO CATIVANTE,URBANA,50044001,PARTICULAR,
Rio Brilhante,ESCOLA ESPECIAL NILSON DIAS DE SOUZA,URBANA,50019210,PARTICULAR,
Rio Brilhante,ESCOLA FAMILIA AGRICOLA ROSALVO DA ROCHA RODRIGUES,RURAL,50024337,PARTICULAR,
Rio Negro,CENTRO DE ED ESP RIO NEGRO - APAE,URBANA,50024221,PARTICULAR,
Rio Verde de Mato Grosso,AGENCIA SENAI RIO VERDE DE MATO GROSSO LUIZ CLAUDIO SABEDOTTI FORNARI,URBANA,50030205,PARTICULAR,
Rio Verde de Mato Grosso,CEDERV - C DE EDUC ESPECIAL DE RIO VERDE,URBANA,50004042,PARTICULAR,
Rio Verde de Mato Grosso,CEI - MENINO JESUS,URBANA,50026623,PARTICULAR,
Rio Verde de Mato Grosso,CENTRO DE ENSINO REINO DO SABER,URBANA,50004034,PARTICULAR,
Santa Rita do Pardo,ESCOLA ESPECIAL AGRIPINO COSTA LIMA,URBANA,50028260,PARTICULAR,
São Gabriel do Oeste,ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS,URBANA,50004336,PARTICULAR,
São Gabriel do Oeste,CEI SONHO MEU,RURAL,50033620,PARTICULAR,
São Gabriel do Oeste,CEJ - CENTRO EDUCACIONAL JUNIOR,URBANA,50028707,PARTICULAR,
São Gabriel do Oeste,CENTRO DE EDUCACAO E RECREACAO INFANTIL FUTURO BRILHANTE,URBANA,50034529,PARTICULAR,
São Gabriel do Oeste,ESCOLA DENTE DE LEITE,URBANA,50027344,PARTICULAR,
São Gabriel do Oeste,ESCOLA FABIANO DE CRISTO,URBANA,50004468,PARTICULAR,
São Gabriel do Oeste,FUNDACAO EDUCACIONAL CRISTO REI,URBANA,50004476,PARTICULAR,
Sete Quedas,CENTRO DE EDUCACAO ESPECIAL SETEQUEDENSE - APAE,URBANA,50021656,PARTICULAR,
Sete Quedas,ESCOLA IMACULADO CORACAO DE MARIA,URBANA,50021672,PARTICULAR,
Sidrolândia,AGENCIA SENAI SIDROLANDIA,URBANA,50032194,PARTICULAR,
Sidrolândia,CAEE - SIDROLANDIA,URBANA,50032305,PARTICULAR,
Sidrolândia,CENTRO DE EDUCACAO ESPECIAL DE SIDROLANDIA - APAE,URBANA,50009826,PARTICULAR,
Sidrolândia,EFASIDRO - ESCOLA FAMILIA AGRICOLA DE SIDROLANDIA,RURAL,50035002,PARTICULAR,
Sidrolândia,ESCOLA EVANGELICA REINO DA CULTURA,URBANA,50024299,PARTICULAR,
Sidrolândia,ESCOLA NOSSA SENHORA DA ABADIA,URBANA,50009931,PARTICULAR,
Sidrolândia,INSTITUTO EDUCACIONAL ARANCUA,URBANA,50082957,PARTICULAR,
Sonora,AGENCIA SENAI SONORA,URBANA,50032496,PARTICULAR,
Sonora,CEDESO - C DE EDUC ESPECIAL DE SONORA,URBANA,50027778,PARTICULAR,
Sonora,CENTRO EDUC INF E INFORMATICA T Y G CORUJINHA,URBANA,50004611,PARTICULAR,
Sonora,ESCOLA IOLANDA TONIAZZO PETRY,URBANA,50030094,PARTICULAR,
Tacuru,APAE NOVA ESPERANCA,URBANA,50034260,PARTICULAR,
Taquarussu,ESCOLA DE EDUCACAO ESPECIAL NOVOS HORIZONTES,URBANA,50027131,PARTICULAR,
Terenos,CAEE - TERENOS,URBANA,50032364,PARTICULAR,
Terenos,ESCOLA ESPECIAL RAIO DE LUZ - PESTALOZZI,URBANA,50010093,PARTICULAR,
Três Lagoas,ANGLO TRES LAGOAS,URBANA,50032950,PARTICULAR,
Três Lagoas,ASSOC DE ENSINO E CULTURA DE MS,URBANA,50032720,PARTICULAR,
Três Lagoas,CENTRO DE EDUCACAO PROFISSIONAL - SENAC TRES LAGOAS,URBANA,50030280,PARTICULAR,
Três Lagoas,CENTRO DE ENSINO E TECNOLOGIA APLICADA - CETEA,URBANA,50063812,PARTICULAR,
Três Lagoas,CENTRO EDUCACIONAL DE TRES LAGOAS,URBANA,50012479,PARTICULAR,
Três Lagoas,COLEGIO HERMESINDO ALONSO GONZALEZ,URBANA,50024701,PARTICULAR,
Três Lagoas,COLEGIO HY,URBANA,50031775,PARTICULAR,
Três Lagoas,COLEGIO SALESIANO DOM BOSCO DE TRES LAGOAS,URBANA,50040200,PARTICULAR,
Três Lagoas,COLEGIO SALESIANO DOM BOSCO DE TRES LAGOAS - UNID II,URBANA,50031635,PARTICULAR,
Três Lagoas,COLEGIO SOER,URBANA,50032976,PARTICULAR,
Três Lagoas,COLEGIO UNITRES OBJETIVO,URBANA,50012339,PARTICULAR,
Três Lagoas,ELITE EXITUS,URBANA,50012487,PARTICULAR,
Três Lagoas,ESCOLA BATISTA SEMEAR,URBANA,50024698,PARTICULAR,
Três Lagoas,ESCOLA DO SESI TRES LAGOAS,URBANA,50012320,PARTICULAR,
Três Lagoas,ESCOLA DOCE INFANCIA,URBANA,50012045,PARTICULAR,
Três Lagoas,ESCOLA MUNDO ENCANTADO,URBANA,50032747,PARTICULAR,
Três Lagoas,ESCOLA PREMIER,URBANA,50032046,PARTICULAR,
Três Lagoas,ESCOLA UNITRES OBJETIVO,URBANA,50029312,PARTICULAR,
Três Lagoas,FACULDADE DE TECNOLOGIA SENAI TRES LAGOAS JOSE PAULO RIMOLI,URBANA,50030337,PARTICULAR,
Três Lagoas,SESC TRES LAGOAS,URBANA,50028251,PARTICULAR,
Água Clara,CEI - PAULO CELSO MUNHOZ,URBANA,50031848,MUNICIPAL,
Água Clara,CENTRO DE EDUCACAO INFANTIL DANIELA DE ARAUJO FELICIO,URBANA,50034081,MUNICIPAL,
Água Clara,EM ISOLINO CANDIDO DIAS - POLO,RURAL,50011790,MUNICIPAL,
Água Clara,EM LUCIANO SILVERIO DE OLIVEIRA,URBANA,50011804,MUNICIPAL,
Água Clara,EM MARCIA CRISTINA FIORATTI JAVAREZ,URBANA,50029436,MUNICIPAL,
Água Clara,EMEI - IRMA OLGA SALIM DAULIB,URBANA,50026941,MUNICIPAL,
Água Clara,EMEI RENATO RIVEIRA,URBANA,50011782,MUNICIPAL,
Alcinópolis,CMEI - BRENNO CRISOSTOMO DUART,URBANA,50026534,MUNICIPAL,
Alcinópolis,ESCOLA MUNICIPAL ALCINO CARNEIRO,URBANA,50003062,MUNICIPAL,
Alcinópolis,ESCOLA MUNICIPAL MIGUEL ANTONIO DE MORAIS,RURAL,50033123,MUNICIPAL,
Amambai,CEI - DEBORAH ALMEIDA BARROS QUINZANI,URBANA,50027085,MUNICIPAL,
Amambai,CEI - NOSSO LAR,URBANA,50027077,MUNICIPAL,
Amambai,CEI - NOSSO MUNDO,URBANA,50015117,MUNICIPAL,
Amambai,CEI - PEQUENO APRENDIZ,URBANA,50066811,MUNICIPAL,
Amambai,CEI - RECANTO DO SABER,URBANA,50059807,MUNICIPAL,
Amambai,CEI - TERRA MATER,URBANA,50029835,MUNICIPAL,
Amambai,EM ANTONIO PINTO DA SILVA,URBANA,50015222,MUNICIPAL,
Amambai,EM DR RACHID SALDANHA DERZI,URBANA,50015214,MUNICIPAL,
Amambai,EM FLAVIO AUGUSTO COELHO DERZI,URBANA,50028430,MUNICIPAL,
Amambai,EM MARLENE VILARINHO DE ALBUQUERQUE,URBANA,50029029,MUNICIPAL,
Amambai,EM MITA RORY,RURAL,50029037,MUNICIPAL,
Amambai,EM POLO INDIGENA MBO ERENDA TUPA I NANDEVA,RURAL,50029010,MUNICIPAL,
Amambai,EM POLO JOAO RODRIGUES,RURAL,50015150,MUNICIPAL,
Amambai,EM PROFª MARIA BATAGLIN MACHADO,URBANA,50025074,MUNICIPAL,
Amambai,EMP INDIGENA MBO EROY GUARANI KAIOWA,RURAL,50015141,MUNICIPAL,
Amambai,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA,URBANA,50029843,MUNICIPAL,
Amambai,ESCOLA MUNICIPAL JULIO MANVAILER,URBANA,50015230,MUNICIPAL,
Amambai,ESCOLA MUNICIPAL POLO INDIGENA MBOE ERENDA YPYENDY,RURAL,50034103,MUNICIPAL,
Anastácio,CEINF PROFª EDNAI PAIM AGUILLERA,URBANA,50072951,MUNICIPAL,
Anastácio,CENTRO DE EDUCACAO INFANTIL ANALIA ADOLPHO ALBRES,URBANA,50034618,MUNICIPAL,
Anastácio,CENTRO DE EDUCACAO INFANTIL JARDIM INDEPENDENCIA,URBANA,50028316,MUNICIPAL,
Anastácio,CENTRO DE EDUCACAO INFANTIL NIZETE FIGUEIREDO,URBANA,50033336,MUNICIPAL,
