"MUNICÍPIO","ZONA","CÓDIGO DO INEP","UNIDADE ESCOLAR","TIPO"
"Naviraí","URBANA","50032763","CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL SENADOR RAMEZ TEBET","ESTADUAL"
"Naviraí","URBANA","50021460","EE ANTONIO FERNANDES","ESTADUAL"
"Naviraí","URBANA","50021346","EE EURICO GASPAR DUTRA","ESTADUAL"
"Naviraí","URBANA","50021354","EE JURACY ALVES CARDOSO","ESTADUAL"
"Naviraí","URBANA","50021370","EE PRES MEDICI","ESTADUAL"
"Naviraí","URBANA","50021338","EE VINICIUS DE MORAES","ESTADUAL"
"Nioaque","RURAL","50030418","EE INDIGENA DE EM ANGELINA VICENTE","ESTADUAL"
"Nioaque","URBANA","50014889","EE ODETE IGNEZ RESSTEL VILLAS BOAS","ESTADUAL"
"Nioaque","RURAL","50014897","EE PADROEIRA DO BRASIL","ESTADUAL"
"Nioaque","RURAL","50032569","EE UIRAPURU","ESTADUAL"
"Nova Alvorada do Sul","URBANA","50018230","EE ANTONIO COELHO","ESTADUAL"
"Nova Alvorada do Sul","URBANA","50027646","EE DELFINA NOGUEIRA DE SOUZA","ESTADUAL"
"Nova Andradina","URBANA","50013416","EE AUSTRILIO CAPILE CASTRO","ESTADUAL"
"Nova Andradina","URBANA","50013378","EE IRMAN RIBEIRO DE ALMEIDA SILVA","ESTADUAL"
"Nova Andradina","URBANA","50013424","EE LUIZ SOARES ANDRADE","ESTADUAL"
"Nova Andradina","URBANA","50013408","EE MAL RONDON","ESTADUAL"
"Nova Andradina","URBANA","50013386","EE PADRE ANCHIETA","ESTADUAL"
"Nova Andradina","RURAL","50082884","EE PROF LUIZ CARLOS SAMPAIO","ESTADUAL"
"Nova Andradina","URBANA","50013394","EE PROFª FATIMA GAIOTTO SAMPAIO","ESTADUAL"
"Nova Andradina","URBANA","50013432","EE PROFª NAIR PALACIO DE SOUZA","ESTADUAL"
"Novo Horizonte do Sul","URBANA","50026852","EE DORCELINA DE OLIVEIRA FOLADOR","ESTADUAL"
"Paraíso das Águas","URBANA","50010972","EE VER KENDI NAKAI","ESTADUAL"
"Paranaíba","URBANA","50011383","EE ARACILDA CICERO CORREA DA COSTA","ESTADUAL"
"Paranaíba","URBANA","50011391","EE DR ERMIRIO LEAL GARCIA","ESTADUAL"
"Paranaíba","URBANA","50011367","EE GUSTAVO RODRIGUES DA SILVA","ESTADUAL"
"Paranaíba","URBANA","50011405","EE JOSE GARCIA LEAL","ESTADUAL"
"Paranaíba","URBANA","50011413","EE MANOEL GARCIA LEAL","ESTADUAL"
"Paranaíba","URBANA","50011421","EE WLADISLAU GARCIA GOMES","ESTADUAL"
"Paranhos","URBANA","50021540","EE SANTIAGO BENITES","ESTADUAL"
"Pedro Gomes","URBANA","50003852","EE FRANCISCO RIBEIRO SOARES","ESTADUAL"
"Pedro Gomes","URBANA","50003860","EE PROFª CLEUZA TEODORO","ESTADUAL"
"Ponta Porã","URBANA","50018345","EE ADE MARQUES","ESTADUAL"
"Ponta Porã","URBANA","50018353","EE DEP FERNANDO C CAPIBERIBE SALDANHA","ESTADUAL"
"Ponta Porã","URBANA","50018361","EE DR MIGUEL MARCONDES ARMANDO","ESTADUAL"
"Ponta Porã","URBANA","50018388","EE JOAO BREMBATTI CALVOSO","ESTADUAL"
"Ponta Porã","URBANA","50018744","EE JOAQUIM MURTINHO","ESTADUAL"
"Ponta Porã","URBANA","50018426","EE LIONS CLUBE DE PONTA PORA","ESTADUAL"
"Ponta Porã","URBANA","50022725","EE MENDES GONCALVES","ESTADUAL"
"Ponta Porã","RURAL","50018370","EE NOVA ITAMARATI","ESTADUAL"
"Ponta Porã","RURAL","50019120","EE PEDRO AFONSO PEREIRA GOLDONI","ESTADUAL"
"Ponta Porã","RURAL","50039806","EE PROF CARLOS PEREIRA DA SILVA","ESTADUAL"
"Ponta Porã","RURAL","50028456","EE PROF JOSE EDSON DOMINGOS DOS SANTOS","ESTADUAL"
"Ponta Porã","URBANA","50018418","EE PROFª GENI MARQUES MAGALHAES","ESTADUAL"
"Porto Murtinho","URBANA","50000799","EE JOSE BONIFACIO","ESTADUAL"
"Ribas do Rio Pardo","URBANA","50011936","EE DR JOAO PONCE DE ARRUDA","ESTADUAL"
"Ribas do Rio Pardo","URBANA","50011944","EE EDUARDO BATISTA AMORIM","ESTADUAL"
"Rio Brilhante","URBANA","50019252","EE ETALIVIO PEREIRA MARTINS","ESTADUAL"
"Rio Brilhante","URBANA","50019260","EE FERNANDO CORREA DA COSTA","ESTADUAL"
"Rio Brilhante","URBANA","50019295","EE PROFª LIGIA TEREZINHA MARTINS","ESTADUAL"
"Rio Negro","URBANA","50009672","EE LEONTINO ALVES DE OLIVEIRA","ESTADUAL"
"Rio Verde de Mato Grosso","URBANA","50004077","EE THOMAZ BARBOSA RANGEL","ESTADUAL"
"Rio Verde de Mato Grosso","URBANA","50004085","EE VERGELINO MATEUS DE OLIVEIRA","ESTADUAL"
"Rochedo","URBANA","50009788","EE JOSE ALVES RIBEIRO","ESTADUAL"
"Santa Rita do Pardo","URBANA","50012010","EE JOSE FERREIRA LIMA","ESTADUAL"
"São Gabriel do Oeste","URBANA","50004352","EE BERNARDINO FERREIRA DA CUNHA","ESTADUAL"
"São Gabriel do Oeste","RURAL","50028960","EE DORCELINA FOLADOR","ESTADUAL"
"São Gabriel do Oeste","URBANA","50027638","EE PROFª CREUZA APARECIDA DELLA COLETA","ESTADUAL"
"São Gabriel do Oeste","URBANA","50004344","EE SAO GABRIEL","ESTADUAL"
"Selvíria","URBANA","50011618","EE ANA MARIA DE SOUZA","ESTADUAL"
"Sete Quedas","URBANA","50021699","EE 13 DE MAIO","ESTADUAL"
"Sete Quedas","URBANA","50021702","EE 4 DE ABRIL","ESTADUAL"
"Sete Quedas","URBANA","50021710","EE GUIMARAES ROSA","ESTADUAL"
"Sidrolândia","RURAL","50030760","EE KOPENOTI DE EM PROF LUCIO DIAS","ESTADUAL"
"Sidrolândia","RURAL","50023390","EE PAULO EDUARDO DE SOUZA FIRMO","ESTADUAL"
"Sidrolândia","URBANA","50009850","EE PROFª CATARINA DE ABREU","ESTADUAL"
"Sidrolândia","URBANA","50009869","EE SIDRONIO ANTUNES DE ANDRADE","ESTADUAL"
"Sidrolândia","RURAL","50009974","EE VESPASIANO MARTINS","ESTADUAL"
"Sonora","URBANA","50004620","EE COMANDANTE MAURICIO COUTINHO DUTRA","ESTADUAL"
"Tacuru","URBANA","50021796","EE PROF CLETO DE MORAES COSTA","ESTADUAL"
"Tacuru","RURAL","50034090","ESCOLA ESTADUAL INDIGENA JASY RENDY","ESTADUAL"
"Taquarussu","URBANA","50013610","EE DR MARTINHO MARQUES","ESTADUAL"
"Terenos","RURAL","50010018","EE ANTONIO NOGUEIRA DA FONSECA","ESTADUAL"
"Terenos","URBANA","50010026","EE ANTONIO VALADARES","ESTADUAL"
"Terenos","URBANA","50010034","EE EDUARDO PEREZ","ESTADUAL"
"Três Lagoas","RURAL","50012525","EE AFONSO FRANCISCO XAVIER TRANNIN","ESTADUAL"
"Três Lagoas","URBANA","50012096","EE AFONSO PENA","ESTADUAL"
"Três Lagoas","URBANA","50012100","EE BOM JESUS","ESTADUAL"
"Três Lagoas","URBANA","50012118","EE DOM AQUINO CORREA","ESTADUAL"
"Três Lagoas","URBANA","50012126","EE EDWARDS CORREA E SOUZA","ESTADUAL"
"Três Lagoas","URBANA","50012134","EE FERNANDO CORREA","ESTADUAL"
"Três Lagoas","URBANA","50012142","EE JOAO DANTAS FILGUEIRAS","ESTADUAL"
"Três Lagoas","URBANA","50012177","EE JOAO PONCE DE ARRUDA","ESTADUAL"
"Três Lagoas","URBANA","50012088","EE JOSE FERREIRA","ESTADUAL"
"Três Lagoas","URBANA","50032089","EE LUIZ LOPES DE CARVALHO","ESTADUAL"
"Três Lagoas","URBANA","50012150","EE PADRE JOAO TOMES","ESTADUAL"
"Três Lagoas","URBANA","50012169","EE PROF JOAO MAGIANO PINTO","ESTADUAL"
"Vicentina","URBANA","50019384","EE PADRE JOSE DANIEL","ESTADUAL"
"Vicentina","RURAL","50019430","EE SAO JOSE","ESTADUAL"
"Vicentina","RURAL","50019449","EE EMANNUEL PINHEIRO","ESTADUAL"
"Água Clara","URBANA","50031848","CEI - PAULO CELSO MUNHOZ","MUNICIPAL"
"Água Clara","URBANA","50034081","CENTRO DE EDUCACAO INFANTIL DANIELA DE ARAUJO FELICIO","MUNICIPAL"
"Água Clara","RURAL","50011790","EM ISOLINO CANDIDO DIAS - POLO","MUNICIPAL"
"Água Clara","URBANA","50011804","EM LUCIANO SILVERIO DE OLIVEIRA","MUNICIPAL"
"Água Clara","URBANA","50029436","EM MARCIA CRISTINA FIORATTI JAVAREZ","MUNICIPAL"
"Água Clara","URBANA","50026941","EMEI - IRMA OLGA SALIM DAULIB","MUNICIPAL"
"Água Clara","URBANA","50011782","EMEI RENATO RIVEIRA","MUNICIPAL"
"Alcinópolis","URBANA","50026534","CMEI - BRENNO CRISOSTOMO DUART","MUNICIPAL"
"Alcinópolis","URBANA","50003062","ESCOLA MUNICIPAL ALCINO CARNEIRO","MUNICIPAL"
"Alcinópolis","RURAL","50033123","ESCOLA MUNICIPAL MIGUEL ANTONIO DE MORAIS","MUNICIPAL"
"Amambai","URBANA","50027085","CEI - DEBORAH ALMEIDA BARROS QUINZANI","MUNICIPAL"
"Amambai","URBANA","50027077","CEI - NOSSO LAR","MUNICIPAL"
"Amambai","URBANA","50015117","CEI - NOSSO MUNDO","MUNICIPAL"
"Amambai","URBANA","50066811","CEI - PEQUENO APRENDIZ","MUNICIPAL"
"Amambai","URBANA","50059807","CEI - RECANTO DO SABER","MUNICIPAL"
"Amambai","URBANA","50029835","CEI - TERRA MATER","MUNICIPAL"
"Amambai","URBANA","50015222","EM ANTONIO PINTO DA SILVA","MUNICIPAL"
"Amambai","URBANA","50015214","EM DR RACHID SALDANHA DERZI","MUNICIPAL"
"Amambai","URBANA","50028430","EM FLAVIO AUGUSTO COELHO DERZI","MUNICIPAL"
"Amambai","URBANA","50029029","EM MARLENE VILARINHO DE ALBUQUERQUE","MUNICIPAL"
"Amambai","RURAL","50029037","EM MITA RORY","MUNICIPAL"
"Amambai","RURAL","50029010","EM POLO INDIGENA MBO ERENDA TUPA I NANDEVA","MUNICIPAL"
"Amambai","RURAL","50015150","EM POLO JOAO RODRIGUES","MUNICIPAL"
"Amambai","URBANA","50025074","EM PROFª MARIA BATAGLIN MACHADO","MUNICIPAL"
"Amambai","RURAL","50015141","EMP INDIGENA MBO EROY GUARANI KAIOWA","MUNICIPAL"
"Amambai","URBANA","50029843","ESCOLA MUNICIPAL AYRTON SENNA DA SILVA","MUNICIPAL"
"Amambai","URBANA","50015230","ESCOLA MUNICIPAL JULIO MANVAILER","MUNICIPAL"
"Amambai","RURAL","50034103","ESCOLA MUNICIPAL POLO INDIGENA MBOE ERENDA YPYENDY","MUNICIPAL"
"Anastácio","URBANA","50072951","CEINF PROFª EDNAI PAIM AGUILLERA","MUNICIPAL"
"Anastácio","URBANA","50034618","CENTRO DE EDUCACAO INFANTIL ANALIA ADOLPHO ALBRES","MUNICIPAL"
"Anastácio","URBANA","50028316","CENTRO DE EDUCACAO INFANTIL JARDIM INDEPENDENCIA","MUNICIPAL"
"Anastácio","URBANA","50033336","CENTRO DE EDUCACAO INFANTIL NIZETE FIGUEIREDO","MUNICIPAL"
"Anastácio","URBANA","50034278","EM- HONORIVALDO ALVES DE ALBRES","MUNICIPAL"
"Anastácio","URBANA","50001078","EM TEODORO RONDON","MUNICIPAL"
"Anastácio","URBANA","50001159","EPM JARDIM INDEPENDENCIA","MUNICIPAL"
"Anastácio","URBANA","50034693","ESCOLA MUNICIPAL ALCEBIADES ALVES DE ALBRES","MUNICIPAL"
"Anastácio","URBANA","50024060","ESCOLA MUNICIPAL ARACY MOREIRA DOS SANTOS","MUNICIPAL"
"Anastácio","URBANA","50024086","ESCOLA MUNICIPAL IRMA DULCE","MUNICIPAL"
"Anastácio","URBANA","50024078","ESCOLA MUNICIPAL JOSEFA MARIA DA CONCEICAO - DONA ZEFA","MUNICIPAL"
"Anastácio","RURAL","50001256","ESCOLA MUNICIPAL RURAL COLONIA PAULISTA","MUNICIPAL"
"Anastácio","RURAL","50001175","ESCOLA POLO MUNICIPAL RURAL MANOEL VALERIO DA SILVA","MUNICIPAL"
"Anastácio","RURAL","50001361","ESCOLA- POLO MUNICIPAL RURAL NOVO PROGRESSO","MUNICIPAL"
"Anastácio","RURAL","50001469","ESCOLA -POLO MUNICIPAL RURAL SAO MANOEL","MUNICIPAL"
"Anastácio","URBANA","50001140","ESCOLA-POLO MUNICIPAL AFONSO MARTINS PAIM","MUNICIPAL"
"Anastácio","RURAL","50001310","ESCOLA-POLO MUNICIPAL RURAL KM 21","MUNICIPAL"
"Anastácio","RURAL","50001167","ESCOLA-POLO MUNICIPAL RURAL LADISLAU GOMES DE BRITO","MUNICIPAL"
"Anaurilândia","URBANA","50027000","EMEI RISQUE E RABISQUE-POLO","MUNICIPAL"
"Anaurilândia","RURAL","50012800","EMR LUCIANO DA COSTA LIMA - POLO","MUNICIPAL"
"Anaurilândia","URBANA","50026267","ESCOLA MUNICIPAL DO ENSINO FUNDAMENTAL PROFESSOR PAULO NEY","MUNICIPAL"
"Angélica","RURAL","50028995","CEI - NOVO TEMPO","MUNICIPAL"
"Angélica","URBANA","50029002","CEI - TEMPO FELIZ","MUNICIPAL"
"Angélica","URBANA","50034332","CENTRO DE EDUCACAO INFANTIL CANTINHO DO CEU","MUNICIPAL"
"Angélica","URBANA","50033034","EMEIEF MAURO FASCINCANI","MUNICIPAL"
"Angélica","URBANA","50019511","EMEIEF NAPOLEAO BATISTA ALBUQUERQUE","MUNICIPAL"
"Antônio João","URBANA","50059831","CENTRO DE EDUCACAO INFANTIL ALINE ESPINDOLA MARQUES","MUNICIPAL"
"Antônio João","URBANA","50026453","CENTRO DE EDUCACAO INFANTIL DONA LILI","MUNICIPAL"
"Antônio João","URBANA","50026445","CENTRO DE EDUCACAO INFANTIL MUNDO ENCANTADO","MUNICIPAL"
"Antônio João","URBANA","50035401","CENTRO DE EDUCACAO INFANTIL PROFESSORA LUCILA DE ALMEIDA","MUNICIPAL"
"Antônio João","URBANA","50015311","ESCOLA MUNICIPAL MAIKA SANABRIA PINHEIRO","MUNICIPAL"
"Antônio João","RURAL","50024655","ESCOLA MUNICIPAL MBO EROY TUPA I ARANDU RENOI","MUNICIPAL"
"Aparecida do Taboado","URBANA","50034170","CENTRO MUNICIPAL DE ED INF ADALBERTON RODRIGUES DE ALMEIDA","MUNICIPAL"
"Aparecida do Taboado","URBANA","50011014","CMEI - ADELICE BERNARDES DE MELO","MUNICIPAL"
"Aparecida do Taboado","URBANA","50031678","CMEI - PROFESSORA ROSALIA QUEIROZ DE OLIVEIRA","MUNICIPAL"
"Aparecida do Taboado","URBANA","50011057","CMEI ANA MARIA DO NASCIMENTO","MUNICIPAL"
"Aparecida do Taboado","URBANA","50011081","EM CORONEL JOAO ALVES LARA","MUNICIPAL"
"Aparecida do Taboado","URBANA","50011146","EM SAO JERONIMO","MUNICIPAL"
"Aparecida do Taboado","URBANA","50011120","ESCOLA MUNICIPAL JOAO CHAMA","MUNICIPAL"
"Aparecida do Taboado","URBANA","50011090","ESCOLA MUNICIPAL JOAO LUIZ PEREIRA","MUNICIPAL"
"Aparecida do Taboado","URBANA","50026992","ESCOLA MUNICIPAL PROFESSOR JESUS JOSE DE SOUZA","MUNICIPAL"
"Aquidauana","URBANA","50024124","CAIC ANTONIO PACE","MUNICIPAL"
"Aquidauana","URBANA","50033565","CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE LOPES","MUNICIPAL"
"Aquidauana","URBANA","50031066","CENTRO MUNICIPAL EM ALFABETIZACAO ROTARY CLUB","MUNICIPAL"
"Aquidauana","URBANA","50082922","CMA - EMILIA ALVES NOGUEIRA","MUNICIPAL"
"Aquidauana","URBANA","50031236","CMEI - DONA MAFALDA","MUNICIPAL"
"Aquidauana","URBANA","50034367","CMEI - DR ANTONIO DE ARRUDA SAMPAIO","MUNICIPAL"
"Aquidauana","URBANA","50031244","CMEI - LEONOR GARCIA","MUNICIPAL"
"Aquidauana","URBANA","50031252","CMEI - POLO VALDIR CATHCART FERREIRA","MUNICIPAL"
"Aquidauana","URBANA","50034340","CMEI - PROF ENIO DE CASTRO CABRAL","MUNICIPAL"
"Aquidauana","URBANA","50034359","CMEI - VEREADOR ADEMIR BRITES","MUNICIPAL"
"Aquidauana","URBANA","50027654","CMEI- ANDREA PACE DE OLIVEIRA","MUNICIPAL"
"Aquidauana","URBANA","50027719","CMEI BEZERRA DE MENEZES","MUNICIPAL"
"Aquidauana","URBANA","50034014","CMEI PROF JOSE RODOLFO FALCAO","MUNICIPAL"
"Aquidauana","RURAL","50002023","EM ADA MOREIRA BARROS","MUNICIPAL"
"Aquidauana","RURAL","50002031","EM ANTONIO SANTOS RIBEIRO","MUNICIPAL"
"Aquidauana","URBANA","50001701","EM ERSO GOMES","MUNICIPAL"
"Aquidauana","RURAL","50002015","EM FRANKLIN CASSIANO","MUNICIPAL"
"Aquidauana","RURAL","50022075","EM INDIGENA FRANCISCO FARIAS","MUNICIPAL"
"Aquidauana","RURAL","50002066","EM INDIGENA POLO GENERAL RONDON","MUNICIPAL"
"Aquidauana","RURAL","50001922","EM INDIGENA POLO LUTUMA DIAS","MUNICIPAL"
"Aquidauana","URBANA","50031074","EM MARISA NOGUEIRA ROSA SCAFF","MUNICIPAL"
"Aquidauana","RURAL","50022067","EMI POLO MARCOLINO LILI","MUNICIPAL"
"Aquidauana","RURAL","50002112","ESCOLA MUNICIPAL INDIGENA POLO FELICIANO PIO","MUNICIPAL"
"Aquidauana","RURAL","50026844","ESCOLA MUNICIPAL POLO PANTANEIRA","MUNICIPAL"
"Aquidauana","RURAL","50002058","ESCOLA MUNICIPAL VISCONDE DE TAUNAY","MUNICIPAL"
"Aral Moreira","URBANA","50032062","CENTRO DE EDUCACAO INFANTIL GERALDO ANTONIO LOPES","MUNICIPAL"
"Aral Moreira","RURAL","50029770","ESCOLA MUNICIPAL ADROALDO DA CRUZ","MUNICIPAL"
"Aral Moreira","RURAL","50029800","ESCOLA MUNICIPAL GIL NORBERTO SANTA ROSA LOPES","MUNICIPAL"
"Aral Moreira","URBANA","50015397","ESCOLA MUNICIPAL JOAQUIM MOREIRA LOPES","MUNICIPAL"
"Aral Moreira","RURAL","50029797","ESCOLA MUNICIPAL MARIA DE LOURDES FRAGELLI","MUNICIPAL"
"Aral Moreira","RURAL","50015400","ESCOLA MUNICIPAL VENITA RIBEIRO MARQUES","MUNICIPAL"
"Aral Moreira","RURAL","50029789","ESCOLA POLO MUNICIPAL INDIGENA ARANDU RENDA GUARANI KAIOWA","MUNICIPAL"
"Bandeirantes","URBANA","50059858","CMEI CENTRO MUNICIPAL DE EDUCACAO INFANTIL RECANTO FELIZ","MUNICIPAL"
"Bandeirantes","URBANA","50004735","EM CUSTODIO FERREIRA GONCALVES POLO","MUNICIPAL"
"Bandeirantes","RURAL","50005014","EM JOSE BONIFACIO","MUNICIPAL"
"Bandeirantes","URBANA","50004743","EM LEONTINA LUCIANA DA SILVA","MUNICIPAL"
"Bandeirantes","URBANA","50004727","EM PATOTINHA","MUNICIPAL"
"Bandeirantes","RURAL","50025007","ESCOLA MUNICIPAL JOSE DE ANCHIETA - POLO","MUNICIPAL"
"Bataguassu","URBANA","50025449","CEI - CASA DA VOVO DIVA","MUNICIPAL"
"Bataguassu","URBANA","50031597","CENTRO DE EDUCACAO INFANTIL PREFEITO ENIO MARTINS","MUNICIPAL"
"Bataguassu","RURAL","50025503","CENTRO DE EDUCACAO INFANTIL PROFESSORA ANA MARIA BERRO","MUNICIPAL"
"Bataguassu","RURAL","50029983","EM - DO CAMPO PROF MARIA DA CONCEICAO","MUNICIPAL"
"Bataguassu","URBANA","50013068","ESCOLA EM - MARECHAL RONDON","MUNICIPAL"
"Bataguassu","RURAL","50024876","ESCOLA MUNICIPAL PROFESSOR PEDRO DOMINGUES DE FIGUEIREDO","MUNICIPAL"
"Batayporã","URBANA","50013173","EM ANIZIO TEIXEIRA DA SILVA","MUNICIPAL"
"Batayporã","URBANA","50013165","EM BENEDITA FIGUEIRO DE OLIVEIRA","MUNICIPAL"
"Batayporã","RURAL","50026585","EM PROFª BERNADETE TEIXEIRA","MUNICIPAL"
"Bela Vista","URBANA","50032135","CEIM - ALEXANDRINA ARMOA ZACARIAS - DONA CHIRA","MUNICIPAL"
"Bela Vista","URBANA","50033816","CEIM CRIANCA FELIZ","MUNICIPAL"
"Bela Vista","URBANA","50033786","CEIM DONA ZIFA","MUNICIPAL"
"Bela Vista","URBANA","50033760","CEIM IRMA ANGELINA","MUNICIPAL"
"Bela Vista","URBANA","50033778","CEIM PREFEITO WALTER ESCOBAR NUNES","MUNICIPAL"
"Bela Vista","URBANA","50033794","CEIM PROFESSORA ZULMIRA OSSUNA","MUNICIPAL"
"Bela Vista","URBANA","50013980","E M PROFESSORA CLOTILDE G DE CASTRO PINTO","MUNICIPAL"
"Bela Vista","RURAL","50013947","EM BARRA DO ITA - POLO","MUNICIPAL"
"Bela Vista","RURAL","50025589","EM ENIR MONTEIRO NUNES RONDAO","MUNICIPAL"
"Bela Vista","URBANA","50013955","EM JARBAS PASSARINHO","MUNICIPAL"
"Bela Vista","URBANA","50013963","EM NOSSA SENHORA DO PERPETUO SOCORRO","MUNICIPAL"
"Bela Vista","RURAL","50030990","EM SANTA MARINA","MUNICIPAL"
"Bela Vista","RURAL","50014072","EM SAO CLEMENTE - POLO","MUNICIPAL"
"Bela Vista","URBANA","50013998","EM SONETE LEITE LINO","MUNICIPAL"
"Bela Vista","RURAL","50024213","ESCOLA MUNICIPAL INDIGENA PIRACUA","MUNICIPAL"
"Bela Vista","URBANA","50014064","ESCOLA MUNICIPAL PEDRO AJALA- POLO","MUNICIPAL"
"Bela Vista","RURAL","50013971","ESCOLA MUNICIPAL PREFEITO CLOVIS MARCELINO DE OLIVEIRA","MUNICIPAL"
"Bela Vista","URBANA","50033522","ESCOLA MUNICIPAL SAO GERALDO","MUNICIPAL"
"Bodoquena","URBANA","50027387","CEI - BODOQUENA","MUNICIPAL"
"Bodoquena","URBANA","50026283","CEI - MARIA MADALENA FARIAS PINA","MUNICIPAL"
"Bodoquena","URBANA","50034391","CENTRO DE EDUCACAO INFANTIL GILDETE AUSENI GOMES","MUNICIPAL"
"Bodoquena","RURAL","50014137","EM ATAIDE SAMPAIO","MUNICIPAL"
"Bodoquena","URBANA","50014129","EM DR ARNALDO ESTEVAO DE FIGUEIREDO","MUNICIPAL"
"Bodoquena","URBANA","50026879","EM JOAO BATISTA PACHECO","MUNICIPAL"
"Bodoquena","RURAL","50014161","EM JOSE GONCALVES DA SILVA","MUNICIPAL"
"Bodoquena","RURAL","50014170","EM MAL RONDON","MUNICIPAL"
"Bodoquena","RURAL","50030957","EM PROF JOSE MUNIZ DE ORNELAS-POLO","MUNICIPAL"
"Bonito","URBANA","50028103","CEI - HERMINIA TEIXEIRA SIQUEIRA","MUNICIPAL"
"Bonito","URBANA","50035606","CEI - IZALTINA VIEIRA COELHO","MUNICIPAL"
"Bonito","URBANA","50027557","CEI - LAURA VICUNA","MUNICIPAL"
"Bonito","URBANA","50027565","CEI - VERA LUCIA GHIZZI FIGUEIREDO","MUNICIPAL"
"Bonito","URBANA","50014226","EM JOAO ALVES DA NOBREGA","MUNICIPAL"
"Bonito","URBANA","50014234","EM JOAO ALVES DE ARRUDA POLO","MUNICIPAL"
"Bonito","URBANA","50014242","EM MANOEL INACIO DE FARIAS","MUNICIPAL"
"Bonito","URBANA","50014218","EM PROFª DURVALINA DORNELLES TEIXEIRA","MUNICIPAL"
"Bonito","URBANA","50027018","EM PROFª IZAURA PINTO GUIMARAES","MUNICIPAL"
"Bonito","RURAL","50014269","EMR OZORIO JACQUES","MUNICIPAL"
"Bonito","RURAL","50027573","ESCOLA MUNICIPAL RURAL AGUAS DO MIRANDA - POLO","MUNICIPAL"
"Bonito","URBANA","50014250","ESCOLA MUNICIPAL VITALINA VARGAS MACHADO","MUNICIPAL"
"Brasilândia","URBANA","50032186","CENTRO EDUCACIONAL INFANTIL GISELY RIBEIRO HIPPLER","MUNICIPAL"
"Brasilândia","URBANA","50060848","CENTRO EDUCACIONAL INFANTIL PROFESSOR HENRIQUE MENDONCA QUINTINO","MUNICIPAL"
"Brasilândia","URBANA","50028901","CENTRO EDUCACIONAL INFANTIL PROFESSORA CARMELITA BARBOSA CAITANO","MUNICIPAL"
"Brasilândia","RURAL","50027476","CENTRO EDUCACIONAL INFANTIL RAIO DE LUZ","MUNICIPAL"
"Brasilândia","URBANA","50011880","ESCOLA MUNICIPAL ANTONIO HENRIQUE FILHO","MUNICIPAL"
"Brasilândia","URBANA","50011863","ESCOLA MUNICIPAL ARTHUR HOFFIG","MUNICIPAL"
"Brasilândia","RURAL","50072820","ESCOLA MUNICIPAL ASSENTAMENTO MUTUM","MUNICIPAL"
"Brasilândia","RURAL","50021850","ESCOLA MUNICIPAL OFAIE INIECHEKI","MUNICIPAL"
"Brasilândia","URBANA","50011871","ESCOLA MUNICIPAL PAULO SIMOES BRAGA","MUNICIPAL"
"Brasilândia","RURAL","50072838","ESCOLA MUNICIPAL RAIMUNDO PEDRO DE SOUZA","MUNICIPAL"
"Caarapó","URBANA","50024914","CMEI ARISTIDES MACIEL DA SILVA","MUNICIPAL"
"Caarapó","URBANA","50015540","CMEI DONA CHINA","MUNICIPAL"
"Caarapó","URBANA","50031384","CMEI FREI MATEUS","MUNICIPAL"
"Caarapó","URBANA","50015427","CMEI PROF JULIO USHIGIMA - POLO","MUNICIPAL"
"Caarapó","URBANA","50015559","CMEI PROFESSOR ARMANDO CAMPOS BELO","MUNICIPAL"
"Caarapó","URBANA","50032070","CMEI PROFESSORA ROSELI ALVES DE BRITO","MUNICIPAL"
"Caarapó","RURAL","50028367","CMEI RITA TEREZA DE ARAUJO SILVA - POLO","MUNICIPAL"
"Caarapó","URBANA","50015435","EM CANDIDO LEMES DOS SANTOS","MUNICIPAL"
"Caarapó","RURAL","50028375","EM INDIGENA NANDEJARA-POLO","MUNICIPAL"
"Caarapó","URBANA","50023721","EM PROFESSOR MOACIR FRANCO DE CARVALHO","MUNICIPAL"
"Caarapó","URBANA","50015443","EM RUI BARBOSA","MUNICIPAL"
"Camapuã","URBANA","50027522","CENTRO DE EDUCACAO INFANTIL MARIA RUFINA DE JESUS MADRUGA","MUNICIPAL"
"Camapuã","URBANA","50031708","CENTRO DE EDUCACAO INFANTIL PROFESSORA IRAIDES GONCALVES DE MEDEIROS TECA","MUNICIPAL"
"Camapuã","URBANA","50003119","ESCOLA MUNICIPAL CLAUDIO JOSE DE LIMA","MUNICIPAL"
"Camapuã","URBANA","50003208","ESCOLA MUNICIPAL DR SUDALYDIO RODRIGUES MACHADO","MUNICIPAL"
"Camapuã","URBANA","50003232","ESCOLA MUNICIPAL ERNESTO SOLON BORGES - POLO","MUNICIPAL"
"Camapuã","URBANA","50003240","ESCOLA MUNICIPAL EURICO GASPAR DUTRA","MUNICIPAL"
"Camapuã","URBANA","50003127","ESCOLA MUNICIPAL LUCAS ALVES DO VALLE","MUNICIPAL"
"Camapuã","RURAL","50059840","ESCOLA MUNICIPAL PROFª CARMEN SANCHEZ MELHADO - POLO","MUNICIPAL"
"Campo Grande","URBANA","50006916","EM ABEL FREIRE DE ARAGAO","MUNICIPAL"
"Campo Grande","RURAL","50009257","EM AGRICOLA BARAO DO RIO BRANCO","MUNICIPAL"
