"MUNICÍPIO","ZONA","CÓDIGO DO INEP","UNIDADE ESCOLAR","TIPO"
"Brasilândia","RURAL","50011910","EE DEBRASA","ESTADUAL"
"Caarapó","URBANA","50015486","EE ARCENIO ROJAS","ESTADUAL"
"Caarapó","RURAL","50015583","EE FREI JOAO DAMASCENO","ESTADUAL"
"Caarapó","RURAL","50030884","EE INDIGENA DE EM YVY POTY","ESTADUAL"
"Caarapó","RURAL","50015567","EE PADRE JOSE DE ANCHIETA","ESTADUAL"
"Caarapó","URBANA","50015478","EE PROF JOAQUIM ALFREDO SOARES VIANNA","ESTADUAL"
"Caarapó","URBANA","50015460","EE PROFª CLEUZA APARECIDA VARGAS GALHARDO","ESTADUAL"
"Caarapó","URBANA","50015451","EE TEN AVIADOR ANTONIO JOAO","ESTADUAL"
"Camapuã","URBANA","50031961","C EST DE EDUC PROFIS MARCIO ELIAS NERY","ESTADUAL"
"Camapuã","URBANA","50003089","EE ABADIA FAUSTINO INACIO","ESTADUAL"
"Camapuã","URBANA","50003097","EE CAMILO BONFIM","ESTADUAL"
"Camapuã","RURAL","50022040","EE JOAQUIM MALAQUIAS DA SILVA","ESTADUAL"
"Camapuã","URBANA","50003100","EE MIGUEL SUTIL","ESTADUAL"
"Campo Grande","URBANA","50005111","C EST ATEND AO DEF DA AUDIOCOMUNICACAO","ESTADUAL"
"Campo Grande","URBANA","50033344","CEAMETEA-CENTRO ESTADUAL DE APOIO MULTIDISCIPLINAR EDUCACIONAL","ESTADUAL"
"Campo Grande","URBANA","50006126","CEEP PROFª MARIA DE LOURDES WIDAL ROMA","ESTADUAL"
"Campo Grande","URBANA","50026909","CEI - DETRAN-MS","ESTADUAL"
"Campo Grande","URBANA","50005588","CEI- JOSE EDUARDO MARTINS JALLAD - ZEDU","ESTADUAL"
"Campo Grande","URBANA","50033069","CENTRO DE APOIO PEDAGOGICO AO DEFICIENTE VISUAL - CAP-DV-MS","ESTADUAL"
"Campo Grande","URBANA","50031287","CENTRO DE CAPACITACAO DE PROFISSIONAIS DA EDUCACAO E DE ATENDIMENTO AS PESSOAS COM SURDEZ - CAS","ESTADUAL"
"Campo Grande","URBANA","50005340","CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFª IGNES DE LAMONICA GUIMARAES - CEEJA-MS","ESTADUAL"
"Campo Grande","URBANA","50030272","CENTRO DE EDUCACAO PROFISSIONAL EZEQUIEL FERREIRA LIMA - CEPEF","ESTADUAL"
"Campo Grande","URBANA","50033433","CENTRO ESTADUAL DE ATENDIMENTO MULTIDISCIPLINAR PARA ALTAS HABILIDADES SUPERDOTACAO-CEAMAHS","ESTADUAL"
"Campo Grande","URBANA","50031295","CENTRO ESTADUAL DE EDUCACAO ESPECIAL E INCLUSIVA","ESTADUAL"
"Campo Grande","URBANA","50034600","CENTRO ESTADUAL DE FORMACAO DE PROFESSORES INDIGENAS DE MS","ESTADUAL"
"Campo Grande","URBANA","50026658","CRECHE IRMA IRMA ZORZI","ESTADUAL"
"Campo Grande","URBANA","50006355","EE 11 DE OUTUBRO","ESTADUAL"
"Campo Grande","URBANA","50006363","EE 26 DE AGOSTO","ESTADUAL"
"Campo Grande","URBANA","50006371","EE ADVENTOR DIVINO DE ALMEIDA","ESTADUAL"
"Campo Grande","URBANA","50005723","EE ADVOGADO DEMOSTHENES MARTINS","ESTADUAL"
"Campo Grande","URBANA","50006380","EE AMANDO DE OLIVEIRA","ESTADUAL"
"Campo Grande","URBANA","50005901","EE AMELIO DE CARVALHO BAIS","ESTADUAL"
"Campo Grande","URBANA","50006290","EE ANTONIO DELFINO PEREIRA E C CULT ED TIA EVA","ESTADUAL"
"Campo Grande","URBANA","50005731","EE ARACY EUDOCIAK","ESTADUAL"
"Campo Grande","URBANA","50005910","EE ARLINDO DE ANDRADE GOMES","ESTADUAL"
"Campo Grande","URBANA","50006398","EE ARLINDO DE SAMPAIO JORGE","ESTADUAL"
"Campo Grande","URBANA","50005928","EE BLANCHE DOS SANTOS PEREIRA","ESTADUAL"
"Campo Grande","URBANA","50006274","EE CORACAO DE MARIA","ESTADUAL"
"Campo Grande","URBANA","50005936","EE DOLOR FERREIRA DE ANDRADE","ESTADUAL"
"Campo Grande","URBANA","50005944","EE DONA CONSUELO MULLER","ESTADUAL"
"Campo Grande","URBANA","50005952","EE DR ARTHUR DE VASCONCELLOS DIAS","ESTADUAL"
"Campo Grande","URBANA","50005740","EE ELVIRA MATHIAS DE OLIVEIRA","ESTADUAL"
"Campo Grande","URBANA","50006282","EE GAL MALAN","ESTADUAL"
"Campo Grande","URBANA","50006509","EE HERCULES MAYMONE","ESTADUAL"
"Campo Grande","URBANA","50005758","EE JOAO CARLOS FLORES","ESTADUAL"
"Campo Grande","URBANA","50006410","EE JOAQUIM MURTINHO","ESTADUAL"
"Campo Grande","URBANA","50022997","EE JOSE ANTONIO PEREIRA","ESTADUAL"
"Campo Grande","URBANA","50005979","EE JOSE BARBOSA RODRIGUES","ESTADUAL"
"Campo Grande","URBANA","50005766","EE JOSE FERREIRA BARBOSA","ESTADUAL"
"Campo Grande","URBANA","50005987","EE JOSE MAMEDE DE AQUINO","ESTADUAL"
"Campo Grande","URBANA","50005995","EE JOSE MARIA HUGO RODRIGUES","ESTADUAL"
"Campo Grande","URBANA","50006010","EE LUCIA MARTINS COELHO","ESTADUAL"
"Campo Grande","URBANA","50005774","EE LUISA VIDAL BORGES DANIEL","ESTADUAL"
"Campo Grande","URBANA","50006029","EE MAESTRO FREDERICO LIEBERMANN","ESTADUAL"
"Campo Grande","URBANA","50006037","EE MAESTRO HEITOR VILLA LOBOS","ESTADUAL"
"Campo Grande","URBANA","50006436","EE MANOEL BONIFACIO NUNES DA CUNHA","ESTADUAL"
"Campo Grande","URBANA","50005782","EE MARCAL DE SOUZA TUPA-Y","ESTADUAL"
"Campo Grande","URBANA","50006444","EE MARIA CONSTANCA BARROS MACHADO","ESTADUAL"
"Campo Grande","URBANA","50006045","EE MARIA ELIZA BOCAYUVA CORREA DA COSTA","ESTADUAL"
"Campo Grande","URBANA","50006304","EE NICOLAU FRAGELLI","ESTADUAL"
"Campo Grande","URBANA","50006452","EE OLINDA CONCEICAO TEIXEIRA BACHA","ESTADUAL"
"Campo Grande","URBANA","50006312","EE ORCIRIO THIAGO DE OLIVEIRA","ESTADUAL"
"Campo Grande","URBANA","50005804","EE PADRE FRANCO DELPIANO","ESTADUAL"
"Campo Grande","URBANA","50006460","EE PADRE JOSE SCAMPINI","ESTADUAL"
"Campo Grande","URBANA","50006061","EE PADRE MARIO BLANDINO","ESTADUAL"
"Campo Grande","URBANA","50006053","EE PE JOAO GREINER","ESTADUAL"
"Campo Grande","RURAL","50029827","EE POLO FRANCISCO CANDIDO DE REZENDE","ESTADUAL"
"Campo Grande","URBANA","50029371","EE POLO PROFª REGINA LUCIA ANFFE NUNES BETINE","ESTADUAL"
"Campo Grande","URBANA","50005820","EE PROF CARLOS HENRIQUE SCHRADER","ESTADUAL"
"Campo Grande","URBANA","50006100","EE PROF EMYGDIO CAMPOS WIDAL","ESTADUAL"
"Campo Grande","URBANA","50005880","EE PROF HENRIQUE CIRYLLO CORREA","ESTADUAL"
"Campo Grande","URBANA","50006150","EE PROF OTAVIANO GONCALVES DA SILVEIRA JUNIOR","ESTADUAL"
"Campo Grande","URBANA","50006169","EE PROF SEVERINO DE QUEIROZ","ESTADUAL"
"Campo Grande","URBANA","50006185","EE PROF ULISSES SERRA","ESTADUAL"
"Campo Grande","URBANA","50005812","EE PROFª ADA TEIXEIRA DOS SANTOS PEREIRA","ESTADUAL"
"Campo Grande","URBANA","50006088","EE PROFª ALICE NUNES ZAMPIERE","ESTADUAL"
"Campo Grande","URBANA","50006207","EE PROFª BRASILINA FERRAZ MANTERO","ESTADUAL"
"Campo Grande","URBANA","50006096","EE PROFª CELIA MARIA NAGLIS","ESTADUAL"
"Campo Grande","URBANA","50028880","EE PROFª CLARINDA MENDES DE AQUINO","ESTADUAL"
"Campo Grande","URBANA","50006479","EE PROFª DELMIRA RAMOS DOS SANTOS","ESTADUAL"
"Campo Grande","URBANA","50005871","EE PROFª ELIA FRANCA CARDOSO","ESTADUAL"
"Campo Grande","URBANA","50006320","EE PROFª FAUSTA GARCIA BUENO","ESTADUAL"
"Campo Grande","URBANA","50005847","EE PROFª HILDA DE SOUZA FERREIRA","ESTADUAL"
"Campo Grande","URBANA","50006070","EE PROFª IZAURA HIGA","ESTADUAL"
"Campo Grande","URBANA","50005855","EE PROFª JOELINA DE ALMEIDA XAVIER","ESTADUAL"
"Campo Grande","URBANA","50006118","EE PROFª MARIA DE LOURDES TOLEDO AREIAS","ESTADUAL"
"Campo Grande","URBANA","50008463","EE PROFª MARIA RITA DE CASSIA PONTES TEIXEIRA","ESTADUAL"
"Campo Grande","URBANA","50023004","EE PROFª NEYDER SUELLY COSTA VIEIRA","ESTADUAL"
"Campo Grande","URBANA","50005863","EE PROFª THEREZA NORONHA DE CARVALHO","ESTADUAL"
"Campo Grande","URBANA","50008501","EE PROFª ZELIA QUEVEDO CHAVES","ESTADUAL"
"Campo Grande","URBANA","50006487","EE RIACHUELO","ESTADUAL"
"Campo Grande","URBANA","50006215","EE RUI BARBOSA","ESTADUAL"
"Campo Grande","URBANA","50006339","EE SAO FRANCISCO","ESTADUAL"
"Campo Grande","URBANA","50006347","EE SAO JOSE","ESTADUAL"
"Campo Grande","URBANA","50006223","EE SEBASTIAO SANTANA DE OLIVEIRA","ESTADUAL"
"Campo Grande","URBANA","50006231","EE TEOTONIO VILELA","ESTADUAL"
"Campo Grande","URBANA","50006495","EE VESPASIANO MARTINS","ESTADUAL"
"Campo Grande","URBANA","50006240","EE WALDEMIR BARROS DA SILVA","ESTADUAL"
"Campo Grande","URBANA","50005898","EE ZAMENHOF","ESTADUAL"
"Campo Grande","URBANA","50006002","EE LINO VILLACHA","ESTADUAL"
"Campo Grande","URBANA","50006177","EE PROF SILVIO OLIVEIRA DOS SANTOS","ESTADUAL"
"Campo Grande","URBANA","50034626","ESCOLA ESTADUAL PROFESSOR ALBERTO ELPIDIO FERREIRA DIAS - PROFESSOR TITO","ESTADUAL"
"Campo Grande","URBANA","50005839","EE PROFESSORA FLAVINA MARIA DA SILVA","ESTADUAL"
"Campo Grande","URBANA","50025180","ESCOLA TECNICA DO SUS PROFª ENA DE ARAUJO GALVAO","ESTADUAL"
"Caracol","URBANA","50014366","EE DR RUBENS DE CASTRO PINTO","ESTADUAL"
"Cassilândia","URBANA","50010115","EE HERMELINA BARBOSA LEAL","ESTADUAL"
"Cassilândia","URBANA","50010158","EE RUI BARBOSA","ESTADUAL"
"Cassilândia","URBANA","50010166","EE SAO JOSE","ESTADUAL"
"Chapadão do Sul","URBANA","50034138","CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL ARLINDO NECKEL","ESTADUAL"
"Chapadão do Sul","URBANA","50010670","EE AUGUSTO KRUG NETTO","ESTADUAL"
"Chapadão do Sul","URBANA","50029053","ESCOLA ESTADUAL JORGE AMADO","ESTADUAL"
"Corguinho","URBANA","50009290","EE JOSE ALVES QUITO","ESTADUAL"
"Coronel Sapucaia","URBANA","50019554","EE CEL SAPUCAIA","ESTADUAL"
"Coronel Sapucaia","URBANA","50019562","EE ENEIL VARGAS","ESTADUAL"
"Corumbá","URBANA","50000179","EE CARLOS DE CASTRO BRASIL","ESTADUAL"
"Corumbá","URBANA","50000187","EE DOM BOSCO","ESTADUAL"
"Corumbá","URBANA","50000047","EE DR GABRIEL VANDONI DE BARROS","ESTADUAL"
"Corumbá","URBANA","50000195","EE DR JOAO LEITE DE BARROS","ESTADUAL"
"Corumbá","RURAL","50029746","EE INDIGENA JOAO Q DE CARVALHO - TOGHOPANAA","ESTADUAL"
"Corumbá","URBANA","50000209","EE JULIA GONCALVES PASSARINHO","ESTADUAL"
"Corumbá","URBANA","50000152","EE MARIA HELENA ALBANEZE","ESTADUAL"
"Corumbá","URBANA","50000217","EE MARIA LEITE","ESTADUAL"
"Corumbá","URBANA","50000225","EE NATHERCIA POMPEO DOS SANTOS","ESTADUAL"
"Corumbá","URBANA","50000233","EE OCTACILIO FAUSTINO DA SILVA","ESTADUAL"
"Corumbá","URBANA","50000160","EE ROTARY CLUB","ESTADUAL"
"Costa Rica","URBANA","50010700","EE JOSE FERREIRA DA COSTA","ESTADUAL"
"Costa Rica","URBANA","50010719","EE SANTOS DUMONT","ESTADUAL"
"Coxim","URBANA","50003461","EE PADRE NUNES","ESTADUAL"
"Coxim","URBANA","50003500","EE PEDRO MENDES FONTOURA","ESTADUAL"
"Coxim","URBANA","50003518","EE PROFª CLARICE RONDON DOS SANTOS","ESTADUAL"
"Coxim","URBANA","50003526","EE SEMIRAMIS CARLOTA BENEVIDES DA ROCHA","ESTADUAL"
"Coxim","URBANA","50003534","EE SILVIO FERREIRA","ESTADUAL"
"Coxim","URBANA","50003542","EE VIRIATO BANDEIRA","ESTADUAL"
"Deodápolis","URBANA","50019660","EE 13 DE MAIO","ESTADUAL"
"Deodápolis","URBANA","50019651","EE EDWIRGES COELHO DERZI","ESTADUAL"
"Deodápolis","RURAL","50019961","EE JOAO BAPTISTA PEREIRA","ESTADUAL"
"Deodápolis","RURAL","50019813","EE LAGOA BONITA","ESTADUAL"
"Deodápolis","URBANA","50019678","EE SCILA MEDICI","ESTADUAL"
"Deodápolis","RURAL","50019880","ESCOLA ESTADUAL PORTO VILMA","ESTADUAL"
"Dois Irmãos do Buriti","URBANA","50002155","EE ESTEFANA CENTURION GAMBARRA","ESTADUAL"
"Dois Irmãos do Buriti","RURAL","50037005","EE INDIGENA CACIQUE NDETI REGINALDO","ESTADUAL"
"Dois Irmãos do Buriti","RURAL","50082876","EE INDIGENA NATIVIDADE ALCANTARA MARQUES","ESTADUAL"
"Douradina","URBANA","50015591","EE BARAO DO RIO BRANCO","ESTADUAL"
"Dourados","URBANA","50015770","CENTRO ESTADUAL DE EDUCACAO DE JOVENS E ADULTOS DE DOURADOS-CEEJA MS","ESTADUAL"
"Dourados","URBANA","50033700","CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL PROF EVANILDE COSTA DA SILVA","ESTADUAL"
"Dourados","URBANA","50015885","EE ABIGAIL BORRALHO","ESTADUAL"
"Dourados","URBANA","50016415","EE ANTONIA DA SILVEIRA CAPILE","ESTADUAL"
"Dourados","RURAL","50016873","EE ANTONIO VICENTE AZAMBUJA","ESTADUAL"
"Dourados","URBANA","50015907","EE CASTRO ALVES","ESTADUAL"
"Dourados","URBANA","50015940","EE FLORIANO VIEGAS MACHADO","ESTADUAL"
"Dourados","RURAL","50030388","EE INDIGENA DE EM INT GUATEKA - MARCAL DE SOUZA","ESTADUAL"
"Dourados","URBANA","50033654","EE JOAQUIM VAZ DE OLIVEIRA","ESTADUAL"
"Dourados","URBANA","50015915","EE MARIA DA GLORIA MUZZI FERREIRA","ESTADUAL"
"Dourados","URBANA","50016008","EE MENODORA FIALHO DE FIGUEIREDO","ESTADUAL"
"Dourados","URBANA","50016016","EE MIN JOAO PAULO DOS REIS VELOSO","ESTADUAL"
"Dourados","URBANA","50015958","EE PASTOR DANIEL BERG","ESTADUAL"
"Dourados","RURAL","50017373","EE PRES GETULIO VARGAS","ESTADUAL"
"Dourados","URBANA","50015966","EE PRES TANCREDO NEVES","ESTADUAL"
"Dourados","URBANA","50016024","EE PRES VARGAS","ESTADUAL"
"Dourados","URBANA","50026569","EE PROF ALICIO ARAUJO","ESTADUAL"
"Dourados","URBANA","50027581","EE PROF CELSO MULLER DO AMARAL","ESTADUAL"
"Dourados","URBANA","50016482","EE PROFª FLORIANA LOPES","ESTADUAL"
"Dourados","URBANA","50016431","EE RAMONA DA SILVA PEDROSO","ESTADUAL"
"Dourados","URBANA","50033646","EE RITA ANGELINA BARBOSA SILVEIRA","ESTADUAL"
"Dourados","URBANA","50015931","EE ROTARY DR NELSON DE ARAUJO","ESTADUAL"
"Dourados","URBANA","50016032","EE VILMAR VIEIRA MATOS","ESTADUAL"
"Dourados","URBANA","50032860","EE PROFESSOR JOSE PEREIRA LINS","ESTADUAL"
"Dourados","URBANA","50034251","EE VEREADOR MOACIR DJALMA BARROS","ESTADUAL"
"Eldorado","URBANA","50020030","EE 13 DE MAIO","ESTADUAL"
"Eldorado","URBANA","50020021","EE ELDORADO","ESTADUAL"
"Eldorado","RURAL","50020323","EE SILO VARGAS BATISTA","ESTADUAL"
"Fátima do Sul","RURAL","50017560","EE JONAS BELARMINO DA SILVA","ESTADUAL"
"Fátima do Sul","URBANA","50017438","EE SEN FILINTO MULLER","ESTADUAL"
"Fátima do Sul","URBANA","50017497","EE VICENTE PALLOTTI","ESTADUAL"
"Fátima do Sul","URBANA","50017411","EE VILA BRASIL","ESTADUAL"
"Figueirão","URBANA","50003429","EE DR ARNALDO ESTEVAO DE FIGUEIREDO","ESTADUAL"
"Glória de Dourados","URBANA","50020366","EE HILDA BERGO DUARTE","ESTADUAL"
"Glória de Dourados","URBANA","50020374","EE PROFª EUFROSINA PINTO","ESTADUAL"
"Glória de Dourados","URBANA","50020382","EE PROFª VANIA MEDEIROS LOPES","ESTADUAL"
"Glória de Dourados","RURAL","50020609","EE WEIMAR TORRES","ESTADUAL"
"Guia Lopes da Laguna","URBANA","50014420","EE ALZIRO LOPES","ESTADUAL"
"Guia Lopes da Laguna","URBANA","50014439","EE SALOME DE MELO ROCHA","ESTADUAL"
"Iguatemi","URBANA","50020650","EE 8 DE MAIO","ESTADUAL"
"Iguatemi","URBANA","50020668","EE MARCILIO AUGUSTO PINTO","ESTADUAL"
"Iguatemi","URBANA","50026437","EE PAULO FREIRE","ESTADUAL"
"Inocência","URBANA","50011260","EE PROF JOAO PEREIRA VALIM","ESTADUAL"
"Inocência","RURAL","50031910","EE JOAO PONCE DE ARRUDA","ESTADUAL"
"Itaporã","URBANA","50017608","EE ANTONIO JOAO RIBEIRO","ESTADUAL"
"Itaporã","URBANA","50017616","EE EDSON BEZERRA","ESTADUAL"
"Itaporã","RURAL","50017756","EE OLIVIA PAULA","ESTADUAL"
"Itaporã","RURAL","50017772","EE PRINCESA IZABEL","ESTADUAL"
"Itaporã","RURAL","50017730","EE SEN SALDANHA DERZI","ESTADUAL"
"Itaporã","URBANA","50022393","EE RODRIGUES ALVES","ESTADUAL"
